LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1729244952.977477,327889.000,47260,2,EL,1,100,-18909.400391
1729244953.043476,327955.000,47276,1,EL,1,100,-18909.199219
1729244953.110476,328022.000,47294,2,EL,1,100,-18909.599609
1729244953.177476,328089.000,47294,2,EL,1,100,-18910.000000
1729244953.243475,328155.000,47314,1,EL,1,100,-18910.000000
1729244953.310475,328222.000,47329,2,EL,1,100,-18910.199219
1729244953.377475,328289.000,47329,2,EL,1,100,-18910.199219
1729244953.443474,328355.000,47345,1,EL,1,100,-18910.199219
1729244953.510474,328422.000,47363,2,EL,1,100,-18910.199219
1729244953.577474,328489.000,47363,2,EL,1,100,-18910.400391
1729244953.643473,328555.000,47379,1,EL,1,100,-18910.000000
1729244953.710473,328622.000,47394,2,EL,1,100,-18910.199219
1729244953.777473,328689.000,47394,2,EL,1,100,-18910.400391
1729244953.843472,328755.000,47411,1,EL,1,100,-18910.000000
1729244953.910472,328822.000,47428,2,EL,1,100,-18910.800781
1729244953.977472,328889.000,47428,2,EL,1,100,-18910.599609
1729244954.043471,328955.000,47444,1,EL,1,100,-18910.400391
1729244954.110471,329022.000,47460,2,EL,1,100,-18910.599609
1729244954.177471,329089.000,47460,2,EL,1,100,-18910.000000
1729244954.243470,329155.000,47476,1,EL,1,100,-18910.000000
1729244954.310470,329222.000,47495,2,EL,1,100,-18910.000000
1729244954.377470,329289.000,47495,2,EL,1,100,-18910.000000
1729244954.443470,329355.000,47511,1,EL,1,100,-18910.000000
1729244954.510469,329422.000,47527,2,EL,1,100,-18910.000000
1729244954.577469,329489.000,47527,2,EL,1,100,-18909.800781
1729244954.643469,329555.000,47543,1,EL,1,100,-18910.000000
1729244954.710468,329622.000,47560,2,EL,1,100,-18910.000000
1729244954.777468,329689.000,47560,2,EL,1,100,-18910.000000
1729244954.843467,329755.000,47577,1,EL,1,100,-18910.000000
1729244954.910467,329822.000,47593,2,EL,1,100,-18909.800781
1729244954.977467,329889.000,47593,2,EL,1,100,-18909.800781
1729244955.043967,329955.500,47614,2,EL,1,100,-18909.400391
1729244955.110466,330022.000,47614,2,EL,1,100,-18909.800781
1729244955.176966,330088.500,47631,2,EL,1,100,-18909.800781
1729244955.243466,330155.000,47631,2,EL,1,100,-18909.400391
1729244955.310465,330222.000,47647,1,EL,1,100,-18909.599609
1729244955.376965,330288.500,47665,2,EL,1,100,-18909.400391
1729244955.443465,330355.000,47665,2,EL,1,100,-18909.199219
1729244955.510464,330422.000,47683,1,EL,1,100,-18909.599609
1729244955.576964,330488.500,47698,2,EL,1,100,-18909.199219
1729244955.643464,330555.000,47698,2,EL,1,100,-18909.800781
1729244955.710463,330622.000,47714,2,EL,1,100,-18909.599609
1729244955.777463,330689.000,47714,2,EL,1,100,-18910.000000
1729244955.843463,330755.000,47731,1,EL,1,100,-18910.000000
1729244955.910462,330822.000,47748,2,EL,1,100,-18910.400391
1729244955.977462,330889.000,47748,2,EL,1,100,-18910.400391
1729244956.043462,330955.000,47764,1,EL,1,100,-18911.000000
1729244956.110461,331022.000,47780,2,EL,1,100,-18911.000000
1729244956.177461,331089.000,47780,2,EL,1,100,-18911.199219
1729244956.243461,331155.000,47798,1,EL,1,100,-18912.000000
